target,window_size_s,feature_set,model,split_type,n_windows,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,folds,fold_mcc_mean,fold_mcc_std
multiclass,2.0,pulse_only,random_forest,random_window_leakage_diagnostic,3890,38,0.6793422404933196,0.6403635321576614,0.6727803267894282,0.6403635321576614,0.650509280360125,0.6052746327148941,1,0.6052746327148941,0.0
multiclass,2.0,pulse_only,svm_rbf,random_window_leakage_diagnostic,3890,38,0.5457348406988695,0.5391539565881518,0.5462801939600513,0.5391539565881518,0.5323921587461388,0.4460809002904975,1,0.4460809002904975,0.0
multiclass,2.0,thermal_only,dummy_most_frequent,random_window_leakage_diagnostic,3890,65,0.2723535457348407,0.16666666666666666,0.04539225762247345,0.16666666666666666,0.07135164243403339,0.0,1,0.0,0.0
multiclass,2.0,thermal_only,extra_trees,random_window_leakage_diagnostic,3890,65,0.9301130524152107,0.9245043685207256,0.9302012882267983,0.9245043685207256,0.9271695725208864,0.9141107809362538,1,0.9141107809362538,0.0
multiclass,2.0,thermal_only,hist_gradient_boosting,random_window_leakage_diagnostic,3890,65,0.9013360739979445,0.8879393302576162,0.9016171045679403,0.8879393302576162,0.8937721510916656,0.8786686386444083,1,0.8786686386444083,0.0
multiclass,2.0,thermal_only,knn,random_window_leakage_diagnostic,3890,65,0.6104830421377184,0.5765684624612261,0.5912001061285056,0.5765684624612261,0.5815586826673903,0.5191576849924004,1,0.5191576849924004,0.0
multiclass,2.0,thermal_only,logistic_regression,random_window_leakage_diagnostic,3890,65,0.43371017471736895,0.4277868299647052,0.39118235766298765,0.4277868299647052,0.3861142084656289,0.31895720780472425,1,0.31895720780472425,0.0
multiclass,2.0,thermal_only,random_forest,random_window_leakage_diagnostic,3890,65,0.8879753340184995,0.8783198697792849,0.8863035721919458,0.8783198697792849,0.882069731957638,0.8622291730284176,1,0.8622291730284176,0.0
multiclass,2.0,thermal_only,svm_rbf,random_window_leakage_diagnostic,3890,65,0.527235354573484,0.5176181911229943,0.5133951014488439,0.5176181911229943,0.5063589567310244,0.42821913940969625,1,0.42821913940969625,0.0
multiclass,5.0,motion_only,dummy_most_frequent,random_window_leakage_diagnostic,1514,106,0.2717678100263852,0.16666666666666666,0.04529463500439754,0.16666666666666666,0.07123098201936376,0.0,1,0.0,0.0
multiclass,5.0,motion_only,extra_trees,random_window_leakage_diagnostic,1514,106,0.8865435356200527,0.8405917327912212,0.8739953223818473,0.8405917327912212,0.8484007885585668,0.8613163025734989,1,0.8613163025734989,0.0
multiclass,5.0,motion_only,hist_gradient_boosting,random_window_leakage_diagnostic,1514,106,0.9261213720316622,0.8967258586823803,0.9183424692243282,0.8967258586823803,0.9045369554452343,0.9094853207534758,1,0.9094853207534758,0.0
multiclass,5.0,motion_only,knn,random_window_leakage_diagnostic,1514,106,0.8390501319261213,0.7863597612958227,0.8028169014519871,0.7863597612958227,0.7881922432234106,0.8022725063487535,1,0.8022725063487535,0.0
multiclass,5.0,motion_only,logistic_regression,random_window_leakage_diagnostic,1514,106,0.8654353562005277,0.8363374335241344,0.8333017874721124,0.8363374335241344,0.8345161675992866,0.8348116160394655,1,0.8348116160394655,0.0
multiclass,5.0,motion_only,random_forest,random_window_leakage_diagnostic,1514,106,0.8680738786279684,0.8171862167386464,0.8477108105615397,0.8171862167386464,0.8217302755163328,0.8387405750944728,1,0.8387405750944728,0.0
multiclass,5.0,motion_only,svm_rbf,random_window_leakage_diagnostic,1514,106,0.8548812664907651,0.8210936548532457,0.8260780429468331,0.8210936548532457,0.8207531805937389,0.8225144422809126,1,0.8225144422809126,0.0
